SKU,Category,Description,Last 4 Weeks Avg ROS,Budget Wkly Fwd ROS,Budget 4 Wks Fwd ROS,Stock,Retail (inc vat £),Landed Cost,Stockholding Value,Flat Cvr,Pre-Order Qty,Fwd Cvr (excluding goods on water),Good On Water,Flat Cover (inc Goods on Water),Fwd Cover (inc Goods on Water),No. Pre-Order Wks - Current ROS,No. Pre-Order Wks - Fwd ROS,PL's Approved,Units Called Off - Awaiting Confirmation,Open PO's,Balance Open PO's,Additional POS raised LW,Comments,Marketing Comments,,ON AMAZON UK FBA?,Sellable,Shopify,Amazon,Ebay,B&Q,Debenhams,Decathlon,MW,Tesco,Vente Unique,The Range,Wilko,Wayfair,Rackhams
ONT4HEUK,Dropstitch Spa,Dropstitch Spa Round 4 Oxford Cloth (External),0,0,1,0,,£186.93,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,60,60,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ONT6HEUK,Dropstitch Spa,Dropstitch Spa Round 6 Oxford Cloth (External),4,2,8,0,,£212.13,£0.00,0.0,12,0.0,100,25.1,45.6,,,0,0,100,0,,Pre-order - 5% discount. Stock due end of July. £474.99,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
,,Dropstitch Total,4,2,9,0,,,,0,12,0,100,25.1,40,,,0,0,160,60,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COM6CHARATUK,Foam Spa,6 Person Octagon Como Spa Charcoal Rattan UK,22,20,79,0,,£308.79,£0.00,0.0,0,0.0,82,3.7,4.2,4,4,,175,257,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
COM6FLIRATUK,Foam Spa,6 Person Octagon Como Spa Flint Rattan UK,1,6,23,0,,£308.79,£0.00,0.0,0,0.0,75,60.0,13.1,,,25,75,175,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
COM6GRARATUK,Foam Spa,6 Person Octagon Como Spa Graphite Rattan UK,2,3,13,0,,£308.79,£0.00,0.0,0,0.0,58,25.8,17.5,,,,21,79,0,,Pre-order - 5% discount. Stock due end of July: £1044.99,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
COM6PEBRATUK,Foam Spa,6 Person Octagon Como Spa Pebble Rattan UK,7,4,16,6,,£308.79,"£1,852.72",0.9,0,1.5,40,6.6,11.3,1,,15,20,95,20,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR4CHARATUK,Foam Spa,4 Person Square Garda Spa Charcoal Rattan UK,12,8,34,0,,£332.09,£0.00,0.0,0,0.0,23,1.9,2.7,6,5,80,,133,30,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR4FLRATUK,Foam Spa,4 Person Square Garda Spa Flint Rattan UK,0,1,5,0,,£332.09,£0.00,0.0,0,0.0,25,-100.0,21.1,8,,,,45,20,,Pre-order - 5% discount. Stock due end of July: £1044.99,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR4GRARATUK,Foam Spa,4 Person Square Garda Spa Graphite Rattan UK,2,0,1,1,,£332.09,£332.09,0.6,0,2.8,0,0.6,2.8,7,5,25,,133,108,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR4PEBRATUK,Foam Spa,4 Person Square Garda Spa Pebble Rattan UK,6,1,3,11,,£332.09,"£3,652.96",2.0,0,17.5,12,4.2,36.7,4,,28,,36,-4,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR6CHARATUK,Foam Spa,6 Person Square Garda Spa Charcoal Rattan UK,4,7,30,0,,£352.59,£0.00,0.0,17,0.0,44,6.4,3.6,2,4,79,50,242,69,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR6FLRATUK,Foam Spa,6 Person Square Garda Spa Flint Rattan UK,3,4,14,0,,£352.59,£0.00,0.0,5,0.0,40,12.7,9.9,,,,20,60,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR6GRARATUK,Foam Spa,6 Person Square Garda Spa Graphite Rattan UK,9,1,5,0,,£352.59,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,15,,15,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GAR6PEBRATUK,Foam Spa,6 Person Square Garda Spa Pebble Rattan UK,8,4,16,3,,£352.59,"£1,057.76",0.4,0,0.8,30,4.1,8.5,4,,,,30,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH4CHARATUK,Foam Spa,4 Person Round Tahoe Spa Charcoal Rattan UK,2,2,7,0,,£286.04,£0.00,0.0,0,0.0,2,0.9,1.2,7,7,38,,40,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH4FLRATUK,Foam Spa,4 Person Round Tahoe Spa Flint Rattan UK,2,2,9,0,,£286.04,£0.00,0.0,2,0.0,0,-1.3,-0.9,8,8,10,20,30,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH4GRARATUK,Foam Spa,4 Person Round Tahoe Spa Graphite Rattan UK,3,1,2,30,,£286.04,"£8,581.19",10.9,0,51.8,0,10.9,51.8,,,,,0,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH4PEBRATUK,Foam Spa,4 Person Round Tahoe Spa Pebble Rattan UK,4,1,4,2,,£286.04,£572.08,0.6,0,2.0,0,0.6,2.0,7,6,,,0,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6CHARRATUK,Foam Spa,6 Person Round Tahoe Spa Charcoal Rattan UK,4,4,18,0,,£309.63,£0.00,0.0,0,0.0,31,8.9,6.9,,1,,25,56,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6FLTRATUK,Foam Spa,6 Person Round Tahoe Spa Flint Rattan UK,0,4,14,0,,£309.63,£0.00,0.0,0,0.0,16,-64.0,4.5,8,4,3,30,50,1,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6GRARATUK,Foam Spa,6 Person Round Tahoe Spa Graphite Rattan UK,2,3,11,16,,£309.63,"£4,954.03",9.1,0,5.9,20,20.6,13.3,,,,,20,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6PEBRATUK,Foam Spa,6 Person Round Tahoe Spa Pebble Rattan UK,2,2,6,30,,£309.63,"£9,288.80",15.0,0,19.7,25,27.5,36.2,,,,,25,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
,,Foam Spa Total,93,77,309,99,,,,1.1,24,1.3,523,6.4,7.7,,,318,436,"1,521",244,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ADR6BLAUK,Frame Spa,6 Person Frame Spa Black,1,2,9,0,,£521.73,£0.00,0.0,0,0.0,0,0.0,0.0,8,3,,100,120,20,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
,,Frame Spa Total,1,2,9,0,,,,0,0,0,0,0,0,,,0,100,120,20,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AEG6DGRYUK,Inflatable Spa,Aegean Octagonal 6 Person Spa - Dark Grey,26,14,56,0,,£149.11,£0.00,0.0,1,0.0,40,1.5,2.8,6,5,0,190,230,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
AEG6NAVYUK,Inflatable Spa,Aegean Octagonal 6 Person Spa - Navy,18,15,60,30,,£148.21,"£4,446.41",1.6,0,2.0,40,3.8,4.7,4,3,0,40,80,0,,Pre-order - 5% discount. Stock due end of July: 408.49,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
