SKU,Old Cost,New Cost,Change
ONT4HEUK,,186.93,SET
ONT6HEUK,,212.13,SET
COM6CHARATUK,,308.79,SET
COM6FLIRATUK,,308.79,SET
COM6GRARATUK,,308.79,SET
COM6PEBRATUK,308.79,308.79,SAME
GAR4CHARATUK,,332.09,SET
GAR4FLRATUK,,332.09,SET
GAR4GRARATUK,,332.09,SET
GAR4PEBRATUK,332.09,332.09,SAME
GAR6CHARATUK,,352.59,SET
GAR6FLRATUK,,352.59,SET
GAR6GRARATUK,,352.59,SET
GAR6PEBRATUK,,352.59,SET
TAH4CHARATUK,,286.04,SET
TAH4FLRATUK,,286.04,SET
TAH4GRARATUK,,286.04,SET
TAH4PEBRATUK,,286.04,SET
TAH6CHARRATUK,,309.63,SET
TAH6FLTRATUK,,309.63,SET
TAH6GRARATUK,,309.63,SET
TAH6PEBRATUK,,309.63,SET
ADR6BLAUK,,521.73,SET
AEG6DGRYUK,,149.11,SET
AEG6NAVYUK,148.21,148.21,SAME
ATL4DGRYUK,,121.86,SET
ATL6BRNRATUK,,148.59,SET
ATL6GRATUK,,148.51,SET
ATL6NAVUK,,145.02,SET
ATL6SLAUK,,139.3,SET
PAC4BRNRATUK,,139.3,SET
PAC4DGRYUK,,135.78,SET
PAC4GRATUK,,139.18,SET
PAC4NAVUK,,135.78,SET
PAC4SLAUK,,133.87,SET
PAC6BRNRATUK,,165.03,SET
PAC6DGRYUK,,162.52,SET
PAC6GRATUK,,155.12,SET
PAC6NAVUK,,161.42,SET
PAC6SLAUK,,165.03,SET
EXPNAV221,,118.25,SET
EXPNAV232,,134.52,SET
NAVNAV232,,123.35,SET
5060959542773,,188.57,SET
REC104GRYWW,,84.87,SET
5060959546733,,76.43,SET
5060959546665,,73.39,SET
5060959546658,,56.44,SET
5060959546641,,72.6,SET
VEN23WW,,219.22,SET
2PKFILSS24WW,2.4,1.76,CHANGE
4PKFILSS24WW,2.4,3.69,CHANGE
8PKFILSS24WW,2.4,7.06,CHANGE
16PKFILSS24WW,2.4,13.14,CHANGE
5054487649523,,2.05,SET
5054487614422,,2.05,SET
COM6EPSCVRWW,,95.74,SET
GAR4EPSCVRWW,,63.06,SET
GAR6EPSCVRWW,,78.61,SET
