SKU,Category,Description,Old Cost,New Cost,Status
16PKFILSS24WW,Filters,16Pk Filter,2.4,13.14,CHANGED
1STEPDRWWW,Steps,Spa Steps,,18.92,SET (was blank)
20LCAREFFBLK,Dry Bags,20L Carbon Effect Pvc Roll-Top Deck Bag Black,,11.37,SET (was blank)
20LPVC1PORA,Dry Bags,20L Pvc 1 Strap Dry Bag Orange,,5.47,SET (was blank)
20LZIPPVCBLK,Dry Bags,20L Zipped Pvc Deck Bag Black,,13.9,SET (was blank)
2424WRENWW,Wrench,Wrench For 2024 Spas WW,,0.03,SET (was blank)
24COM6ILBLUK,Spa Spares,6 Person Octagon Como Metallic Blue Inner Liner UK 24,,37.14,SET (was blank)
24DPLUGWW,Drain Plug,Drain Plug WW,10.0,0.01,CHANGED
24HOSADAPWW,Hose Adapter,Garden Hose Adapter WW,,0.01,SET (was blank)
24HSTOPWW,Hair Stopper,Hair Stopper WW,,0.05,SET (was blank)
2PKFILSS24WW,Filters,2Pk Filter,2.4,1.76,CHANGED
40LPVC1PBLK,Dry Bags,40L Pvc 1 Strap Dry Bag Black,,6.37,SET (was blank)
40LPVC1PORA,Dry Bags,40L Pvc 1 Strap Dry Bag Orange,,6.7,SET (was blank)
4PKFILSS24WW,Filters,4Pk Filter,2.4,3.69,CHANGED
5054487529092,Drink Holder,Pu Foam Drink Holder (Black) A,,6.6,SET (was blank)
5054487529108,Headrest and Seats,Pu Foam Headrest (Black) A,,6.04,SET (was blank)
5054487582257,Chemicals/Starter Kit,Hot Tub Sparkle/Clarifier 1L,2.49,1.98,CHANGED
5054487582271,Chemicals/Starter Kit,Hot Tub Chlorine Granules 1Kg,3.22,3.4,CHANGED
5054487582295,Chemicals/Starter Kit,Hot Tub Algaecide 1L,2.41,4.63,CHANGED
5054487582301,Chemicals/Starter Kit,Hot Tub Ph Increaser 1L,2.28,2.74,CHANGED
5054487582318,Chemicals/Starter Kit,Hot Tub Starter Kit,,10.95,SET (was blank)
5054487582325,Chemicals/Starter Kit,Hot Tub Multi Functional Tablets 1Kg,4.72,3.94,CHANGED
5054487582417,Headrest and Seats,Pu Foam Headrest (Grey),,6.04,SET (was blank)
